"base_id";"activity";"client";"contract";"type_of_service";"status";"order_num";"first_point";"second_point";"speed";"vlan_id";"switchboard_first_point";"switch_port_first_point";"port_settings_first_point";"switchboard_second_point";"switch_port_second_point";"port_settings_second_point";"subnets";"router";"interface";"auto_network";"end_client";"last_mile";"id_servicepipe";"comment";"responsible_department"
3309;"53033";"АО ""ФИНАМ""";"";"Предоставление канала связи";"Эксплуатация";"";"г. Москва, ул. Долгоруковская д. 38 с.1";"г. Москва, ул. Коровинское ш., 41 (NORD 3)";"100 Мбит/с";"1886";"HSW5700-DOLGORUKOVSKAYA38";"XGigabitEthernet0/0/3";"description L2_FINAM_DEAL53033 port link-type access port default vlan 1886";"X25-KOROVA-NORD4";"Ten-GigabitEthernet1/0/37";"port link-mode bridge description L2_FINAM_DEAL53033 port access vlan 1886";"";"";"";"";"";"";"";"";"СПД"
3308;"59492";"АО ""ЦХД""";"";"Фильтрация трафика для ИТ-инфраструктуры (IP-транзит/DDoS)";"Эксплуатация";"";"г. Москва, Чермянский проезд, 5Ас1";"";"2 Гбит/с";"3722";"X77-CHERMYANSKIY5A1";"XGigabitEthernet0/0/17";"description DIA_CHD_DEAL59492  port link-type access  port default vlan 3722";"";"";"";"77.238.102.28/30";"R1-TB-M9";"ae0.3722";"";"";"";"";"";"СПД"
3307;"59632";"АО ""ЦХД""";"";"Предоставление доступа в интернет";"Эксплуатация";"";"ул. Коровинское ш., 41, стр. 1 -";"";"1 Гбит/с";"2843";"X25-KOROVA-NORD4";"Bridge-Aggregation 11";"interface Bridge-Aggregation11 description DIA_CHD_DEAL59632 port access vlan 2843 link-aggregation mode dynamic service-instance 2843  encapsulation s-vid 2843  xconnect vsi DIA_CHD_DEAL59632";"";"";"";"77.238.103.160/29";"R1-TB-M9 / R1-TB-BOROVAYA";"ae0.2843";"";"";"";"";"VRRP";"СПД"
3306;"59423";"ООО Сервиспайп";"Договор № ТБ-УС-119/19";"Предоставление канала связи";"Эксплуатация";"БЗ 084";"Москва, Алтуфьевское ш., д. 33Б";"Москва, ул. Бутлерова, д.. 7";"500 Мбит/с";"1087";"H2SW-1-ALTUFIEVSKOE33B";"XGE0/0/3";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 1087";"X92-M9";"ETH2 (100GE0/0/3; 100GE0/0/4)";"port trunk allow-pass vlan 1087";"";"";"";"";"Деловые Линии";"";"";"ЗО ТБ - L2VPN до стыка SP // BURST - 10G";"СПД"
3305;"59277";"АО ""ИМ""";"";"Предоставление доступа в интернет";"Эксплуатация";"";"г. Москва, ул. Рябиновая д. 40, с2";"";"100 Mb";"2882";"H3C-RYABINOVAYA40S1";"GigabitEthernet 1/0/1";"description DIA_IM_DEAL59277 port access vlan 2882 storm-constrain broadcast pps 100 80 storm-constrain control block";"";"";"";"185.79.239.188/30";"R1-TB-M9";"ae0.2882";"";"";"";"";"";"СПД"
3304;"55983";"ЦХД";"";"Предоставление канала связи";"Эксплуатация";"";"г. Москва, Чермянский проезд, д. 5А с1";"г. Москва, Остаповский проезд., д. 22, с. 4";"5 Гбит/с";"3734";"г. Москва, Остаповский проезд., д. 22, с. 4";"Eth-Trunk 6";"interface Eth-Trunk6 description L2_CHD_DEAL55983 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 3734 mode lacp";"X77-CHERMYANSKIY5A1";"Eth-Trunk 6";"interface Eth-Trunk6 description L2_CHD_DEAL55983 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 3734 mode lacp";"";"";"";"";"";"";"";"";"СПД"
3303;"59146";"ПАО Промсвязьбанк";"";"Фильтрация трафика для ИТ-инфраструктуры (IP-транзит/DDoS)";"Эксплуатация";"";"г. Москва, Волгоградский проспект д. 42 корпус 9";"";"15 Гбит/с";"2313";"X96-VOLGOGRPRT42K9";"Eth-Trunk5";" description L2-to-SP_PROMSVYAZBANK_DDOS_DEAL59146  port link-type access  port default vlan 2313";"X93-BOROVAYA";"Eth-Trunk2";" description CSW2-SP-BOROVAYA_ET7";"185.169.154.104/30";"";"";"";"";"";"";"L2-to-SP";"СПД"
3302;"59209";"ООО ""ЭДНА""";"";"Предоставление канала связи";"Эксплуатация";"";"г. Москва, ул. Бутлерова, д. 7";" г. Москва, ул. Шарикоподшипниковская, д. 11";"100 Мбит/с";"1895";"X95-M9";"XGE0/0/23";"port link-type access  port default vlan 1895";"HP5800-X12-SHARIK";"GE1/0/3";"port access vlan 1895  bpdu-drop any  undo lldp enable";"";"";"";"";"";"";"";"";"СПД"
3301;"59210";"ООО ""ЭДНА""";"";"Предоставление канала связи";"Эксплуатация";"";" г .Москва, Остаповский проезд, д. 22, стр.16";"г .Москва, ул. Коровинское шоссе, д. 41c4";"100 Мбит/с";"1894";"X30-OSTAP22S16";"XGE2/0/8";"port link-type access  port default vlan 1894";"H3C-TG1-KOROVA";"GE1/0/10";"port access vlan 1894  bpdu-drop any  undo lldp enable";"";"";"";"";"";"";"";"";"СПД"
3300;"56018";"АО ""ЦХД""";"";"Предоставление доступа в интернет";"Эксплуатация";"";"Чермянский проезд, 5А с. 1";"";"200мб/c burst 1гб/с";"2375";"X77-CHERMYANSKIY5A1";"Eth-Trunk 7";"interface Eth-Trunk7 description BGP_CHD_DEAL56018 port link-type access port default vlan 2375 mode lacp";"";"";"";"10.77.0.92/30 ";"R1-TB-M9 ";"ae0.2375 ";"AS59673";"";"";"";"";"СПД"
